ID,Tok Pisin,English
978,pasin birua,hatred | ill-will
979,kisim asua,have an accident
980,goapim meri | hevim seks | paulim meri | pilai wantaim meri | sutim meri | wantaim meri,have sexual intercourse with a woman
981,em,he | it | she
982,het i pen,headache
983,drai,heal (of sore) | dry
984,hiden,heathen
985,heven,heaven | sky
986,longpela bilong em,height
987,hel,hell
988,halo,hello
989,hat ain,helmet
990,hide,hide
991,haiskul,high school
992,haiwara,high tide
993,hailens | hallans,highlands
994,haiwe,highway
995,lek (bilong pik),hind leg (of Pig)
996,bilong em,his | her
997,paitim,"hit | beat, beat up"
998,nek i pas,hoarse
999,apim | haisapim | winsim,"hoist, lift up"
1000,holi,holy
1001,asples bilong mi,"home town, my"
1002,stretpela,honest | correct | straight
1003,hani,honey
1004,kokomo,hornbill bird
1005,bos bilong haus,host
1006,e hostes | hostes,hostess
1007,pasin binua,hostility
1008,hotel,hotel
1009,haus,house | hut | building | home
1010,wanhaus,house/flat mate
1011,hamas krismas yu gat?,how old are you?
1012,daunpasin,humility
1013,hangre,hungry
1014,pen,hurt | pen | paint
1015,maritman,husband
1016,man i gat tupela maus | tumaus,hypocrite
1017,aiskrim,ice-cream
1018,aisblok,iceblock
1019,sik,ill | sick
1020,pikinini bilong rot,illegitimate child
1021,stret nau,immediately
1022,bigman,important man; leader
1023,i hat moa,impossible
1024,namel long,in the middle of | among
1025,insait long,in | inside of
1026,tambu,in-laws | affines | holy
1027,antapim,increase (price)
1028,independens,independence
1029,motu,indigenous people of the Port Moresby area; language spoken by these people; one of the three nation
1030,kanaka,indigenous person
1031,sut,injection
1032,kilim,injure
1033,gumi,inner tube
1034,insait,inside
1035,long halivim,instead of
1036,nogutim | tok nogutim,insult
1037,i laikim tru,interesting
1038,paulim,interfere
1039,man i tanim tok ples,interpreter
1040,katim tok,interrupt
1041,intaviua,interviewer
1042,liva,intestines
1043,laka?,isn't it?
1044,mobeta sapos,it would be better if
1045,jek,jack
1046,jem,jam
1047,smokbalus,jet plane
1048,susap,jew's harp | jaw's harp
1049,skru,"joint | screw, bolt"
1050,kalap,jump (vb) | board (a vehicle)
1051,tasol,just | however | only | but
1052,holim pas,"keep, detain"
1053,glaman,"kid, joke"
1054,kilim i dai pinis,kill
1055,kilogiram,kilogram
1056,kilomita,kilometer
1057,kina,kina (monetary unit 100 toea) | oyster | shell
1058,givim kis,kiss (vb)
1059,haus kuk | hauskuk | kisen,kitchen
1060,paitim bret,knead bread
1061,nildaun,kneel
1062,paitim dua,knock at door
1063,save long,know (someone/something)
1064,save mekim/wokim,know how to (do something)
1065,namba,label | number
1066,raunwara,lake
1067,pikinini bilong sipsip,lamb
1068,katim buk,lance a boil
1069,laplap,laplap | sarong or wraparound | loincloth | cloth
1070,gris bilong pik,lard
1071,traipela,"large | fat, large"
1072,bihaintaim or taim i lus,late (behind time) later
1073,haus bilong wasim klos,laundry
1074,klos was,laundry (clothes)
1075,mowa,lawnmower
1076,loia | loman | loya | saveman long lo,lawyer
1077,slipim,lay (something) down
1078,go pas long,lead (vb)
1079,lip | lip bilong diwai,leaf money from Milne Bay province
1080,man bilong save,learned person | clever person
1081,liklik tru,"least, at"
1082,su let,leather shoes
1083,lusim,"leave (place) | set free | lose | desert (vb) | abandon | spend | forget | forgive | slacken | loosen, slacken"
1084,larim,"leave behind | let, allow | permit (vb) | allow | give up"
1085,han kais | lep han | lephan,left hand
1086,hap kaikai bilong asde,leftovers
1087,lek,leg band | foot
1088,lek daunbilo | lek tamblo,"leg, lower"
1089,lek antap,"leg, upper"
1090,limonad,lemonade
1091,muliwara,"lemonade | like, as"
1092,loliwara,lemonade | softdrink
1093,rait,letter (character)
1094,letis,lettuce
1095,giamanman | man bilong giaman,liar
1096,laisens,licence
1097,pemit,"licence | permit, license"
1098,likim,lick
1099,giamanim,"lie to | tell lies to, fool"
1100,liptimupim,lift (vb)
1101,kamapim lait,light (colour)
1102,i no hevi,light (weight)
1103,ston masis,light the lamp
1104,lait,light | bright
1105,laita,lighter (cigarette)
1106,sigaret laita,lighter (flint)
1107,save laik,lightning
1108,klaut i lait,like (doing something)
1109,muli,lime (powder) | lemon
1110,kambang,"lime juice, lemon drink"
1111,laikim,lime spatula | love | need
1112,stik kambang,"lime, lemon"
1113,pen bilong maus,lipstick
1114,harim,listen | hear
1115,lita,litre
1116,lewa,liver
1117,laipman,living person
1118,palai,lizard | goanna
1119,lesbaga,"loafer, lazy man"
1120,lon,loan
1121,tok ples,"local language | local language, first language"
1122,lok,lock (n)
1123,lokim,lock (vb)
1124,lokim dua,lock door
1125,kalabusim,"lock up, imprison | imprison | shut up/away"
1126,loli,"lolly, candy"
1127,longpela taim,"long (time), long ago"
1128,haus lain,long house (Highlands)
1129,longsok(s),long walk sock(s)
1130,longpela,long | long (size)
1131,bipo tru,longer than
1132,longpela mo,longest
1133,longpela long olgeta,longest of all
1134,luk | lukluk,look after
1135,wanpes,look at
1136,lukaut!,look out!
1137,lukautim,look-alike
1138,slek,loose | slack
1139,slekim,"loosen, slacken"
1140,lus,lost | loose | slack
1141,planti,"lot, a | much | many"
1142,man bilong bikmaus,loudmouth
1143,laus,louse
1144,tait i slek,low tide
1145,daun,low | down
1146,laki,lucky (card game)
1147,liklik kaikai or belo,lunch
1148,wetliva,lungs
1149,longlongman,mad person
1150,het i pas | longlong,mad | stupid
1151,niuspepa,magazine | newspaper
1152,majik,magic
1153,puripuri | sanguma,magic | sorcery
1154,majestret,magistrate
1155,bikrot,main road
1156,bikples,main village
1157,bikpela,main | big
1158,brukim han,make a clenched fist
1159,klirim,"make clear, explain"
1160,digim hul,make hole in ground
1161,holim skin,make love to
1162,mekim poisen long,make magic against
1163,wokim,make | build (something) | knead bread
1164,malaria,malaria
1165,man,male | man | person
1166,mango,mango
1167,spak brus,"marihuana, marijuana"
1168,tupela marit,married couple
1169,maritman/meri,married man/woman
1170,haus marit,married quarters
1171,maritim,marry
1172,masis,matches
1173,masis i kol,"matches are wet, won't light"
1174,me,may | goat
1175,mi,me | I
1176,taim bilong kaikai,meal time
1177,i min,"means, (it)"
1178,makim,measure (vb) | monument
1179,abus,"meat | garnish | game, meat | animal | side-dish"
1180,mekenik,mechanic
1181,marasin,medicine
1182,bungim,meet
1183,painim,meet | look for
1184,melen,melon
1185,manmeri ,men & women
1186,pipel,men & women | people
1187,i lukim meri | mun i kilim,menstruating
1188,pas bilong ol kaikai,menu
1189,wansospen | wantebol,messmate
1190,mita,metre
1191,susu,milk | breast
1192,milimita,millimetre
1193,liklik bas,minibus
1194,minit,minute | moment
1195,glas bilong lukluk,mirror
1196,no gat,missing (as in not present)
1197,misin,mission
1198,misinare | misinari | missinari,missionary
1199,i no stret,mistake
1200,miksim,mix
1201,hapkas,mixed-race | half-caste
1202,haus pater,monastery
1203,mun i kamap,moon rises
1204,mun i godaun,moon sets
1205,mun,moon | month
1206,mo,more | extremely | very
1207,haus lotu bilong ol mahomet,mosque
1208,moskito,mosquito
1209,taunam,mosquito net
1210,mama,mother | mummy | mom
1211,mami,mother | mummy | mom | yam
1212,motobaik,motor-bike
1213,maunten,mountain | hill
1214,liklik rat,mouse
1215,kamera piksa,movie camera
1216,ples malomalo,muddy place
1217,mafla,muffler
1218,makmak,multicoloured
1219,kilman,murderer
1220,haus bilong tumbuna pasin,museum
1221,papai,mushroom
1222,mastet,mustard
1223,tok bilong bipo yet,"myth | fable, myth"
1224,wannem,namesake
1225,baksait bilong nek,nape of neck
1226,napkin,napkin
1227,story board,narrative carving done on a wooden board
1228,ples kanaka,native village
1229,bel i tantanim,nauseated
1230,hap bel,navel
1231,klostu long,"near, nearby"
1232,klostu,"near, nearby | almost | soon"
1233,klosap,"near, nearby | soon"
1234,nek,neck | voice | tune | throat | dialect
1235,nil bilong samap,needle (n)
1236,haus bilong pisin,nest
1237,maski,"never mind | although | forget about, ignore"
1238,nupela mun,new moon
1239,nupela,new | fresh
1240,bihain,"next (after) | later on | after, afterwards"
1241,arere,"next to, beside | border | edge"
1242,naispela,"nice, attractive"
1243,nait,night | evening (late)
1244,nain | nainpela,nine
1245,nainpela ten | nainti,ninety
1246,naintifaiv,ninety-five
1247,no ken smok!,no smoking!
1248,i no gat man,nobody
1249,Mokolkols,nomadic tribe from East New Britain province
1250,ol nudal,noodles
1251,belo kaikai,noon
1252,pin bilong nus,nose pin
1253,no . . . Tasol,not at all
1254,no,not | or
1255,pepa bilong raitim leta,notepaper
1256,nogat,nothing | no
1257,not,nought | north | zero
1258,siro,nought | zero
1259,hambakman,nuisance | cheeky person | annoying person
1260,nes,nurse (n)
1261,nat,nut (of bolt)
1262,galip,nuts
1263,wanpela wanpela taim,occasionally | now and then
1264,pulap,"occupied | replete | full, full up"
1265,ofisa,officer
1266,welim,oil (something)
1267,wel,oil | grease | wild
1268,gris,ointment | fat
1269,oke,okay
1270,orait,okay | all right
1271,olpela,old (things)
1272,lapun,old man
1273,pikinini diwai oliv,olives
1274,antap long,on top of | on | above
1275,wanpela taim mo,once more
1276,wanpela sait long su | wanpela su,one shoe
1277,wanwe,one way
1278,wanpela,"one | a, an"
1279,anien,onion
1280,opim,open | open (vb)
1281,kain singsing na danis,opera
1282,takim,ordered
1283,sotwin,out of breath
1284,autbotmota,outboard motor
1285,ausait,outside
1286,long hap,over-there | there
1287,klaut i pas,overcast
1288,kotren,overcoat | raincoat
1289,daunim,overcome
1290,bosim,"oversee | control, be in charge of"
1291,bosboi,overseer on plantation
1292,abrusim ka,overtake a car
1293,gat dinau,owe
1294,skin bilong kina,oyster shell
1295,kolim bel | mekim bel i kol,pacify
1296,bungim wantaim,pack (vb)
1297,haus bilong king,palace
1298,insait long han,palm of hand
1299,marita,pandanus fruit
1300,pepa,paper | pepper
1301,kalangal,parakeet
1302,papamama,parents
1303,pasim kar,park (car) (vb)
1304,gaden bilas,park (n)
1305,palamen,parliament
1306,koki; kalangal,parrot
1307,pati,party
1308,bungim ka | mitim ka,pass (oncoming) car
1309,pasindia,passenger | guest | bludger
1310,paspot,passport
1311,smolpapa,paternal
1312,sikman | sikmeri,patient
1313,popo,"pawpaw, papaya"
1314,balm | peim,pay (vb)
1315,peim dua,pay admission
1316,baim rum gat,pay bail
1317,tromoim,"pay out, get rid of"
1318,potnait,pay week
1319,pede,payday
1320,belisi,peaceful (person) | calm (person)
1321,kasang,peanut
1322,kiau bilong golip,pearl
1323,hebsen | pi,peas
1324,ples wokabaut,pedestrian crossing
1325,lukstilman | man bilong luklukstil,peeping Tom
1326,kok,penis
1327,nilpis,"perch, spiny fish"
1328,sanda,perfume
1329,nating,perhaps | ordinary | for no reason | nought | zero
1330,man i go i kam long kot,persistent offender
1331,wanples,person from same village
1332,wanlain,"person of same (age, social) group"
1333,wanlotu,person of same religion
1334,mambu bilong bensin,petrol pipe
1335,haus marasin,pharmacy
1336,foto,photo
1337,piksa,photo | film (movie show) | picture
1338,poto,photo | photograph (n)
1339,pai,pie
1340,hap bret,piece of bread
1341,hap skon,piece of scone
1342,pik,pig | pork
1343,balus,"pigeon | aeroplane, airplane | airplane, aeroplane"
1344,hipim,pile up
1345,skin pilo,pillow slip
1346,pailat,pilot
1347,ananas | painap,pineapple
1348,ret,pink | red
1349,marimari,"pity, mercy"
1350,liklik mun,planet
1351,planim,plant | bury
1352,plantesen | plantesin,plantation
1353,plastik,plastic
1354,ples bilong wetim tren,platform (railway)
1355,winim mambu,play flute or pipe
1356,piano | pilaim gita,"play guitar, piano"
1357,wanpilai,playmate
1358,Planti,plenty
1359,plais,pliers
1360,mekim long pinga long,point out
1361,diwai,pole | tree | wood (timber)
1362,polis,police
1363,polis stesin,police station | station (police)
1364,polisman,policeman
1365,politisen,politician
1366,nogat moni,poor (needy)
1367,rabisman,poor man
1368,abus pik,pork
1369,dilim,portion out
1370,cuscus | kapul,possum
1371,pos,post
1372,haus pos | pos opis | posopis,post office
1373,letabokis,post-box
1374,poskat,postcard
1375,kaukau,"potato, sweet potato | sweet potato"
1376,kumu,"potato, wild sweet potato | greens | vegetables"
1377,memeim,pound | pulverize
1378,malagan | malangan,practice of making totemic figures (also called malangans) to honor the dead
1379,kindam bilong solwara or liklik kindam,prawn
1380,buk beten,prayer book
1381,talatala,preacher
1382,i gat bel,pregnant
1383,redim,prepare
1384,redim/wokim kaikai,prepare food
1385,presen,present (gift)
1386,presiden,president
1387,ainim,press (clothes)
1388,lam bensin,pressure lamp
1389,mumuim,pressure-cook
1390,nais,pretty | beautiful
1391,pater,priest
1392,praimeri skul,primary school
1393,stiatok,principle
1394,kalabusman,prisoner
1395,tambuim,prohibit
1396,promisim,promise
1397,strongim,promote
1398,koropela | propela,propeller
1399,profet,prophet
1400,praut  (provisional),proud
1401,provins,province
1402,sutim bel | sutim nus,provoke
1403,meme,pulp | goat
1404,pamkin,pumpkin
1405,taia i plat,puncture | flat (tyre/tire)
1406,strafim,punish
1407,klin,pure | clean
1408,hap ret,purple
1409,pasim,put on (clothing) | shut | strap | close | fasten
1410,pairitrum,pyrethrum
1411,moran,python | carpet snake
1412,hamas,quantity | how much/many
1413,misis kwin,queen
1414,hariap,"quick | hurry, hurry up"
1415,kwiktaim,quickly | urgently | soon
1416,i no gat nois | kwait | no ken mekim nois,"quiet, quietly"
1417,liklik,quite (long) | little | rather | small
1418,hap tok,"quotation, statement"
1419,resis,race (contest) | competition
1420,redieita,radiator
1421,wailis,radio | wireless | telegram
1422,renbo,rainbow
1423,kot ren,raincoat
1424,ren i kamdaun or pundaun,"raining, it is"
1425,taim bilong ren,rainy season | wet season
1426,kamapim mani,raise money
1427,blokim,raise with block and tackle
1428,apim (pe),"raise, increase"
1429,goapim,rape
1430,ratol,rattle
1431,resa,razor
1432,rida,reader
1433,kisim,receive | obtain | get | take
1434,rekot,record (n)
1435,katim singsing long teprikoda,record (vb) a song
1436,bagi,red shell necklace used for trade in the kula ring islands
1437,rip,reef
1438,bokis ais,"refrigerator | ice chest, refrigerator"
1439,rejistarim pas,register (letter)
1440,legoim brek,release the brake
1441,lotu,"religion, worship | church"
1442,wokim gut,repair (vb)
1443,mekim gen,repeat
1444,givim stori | ripotim,report
1445,rises,research
1446,ansa,result
1447,go bek,return
1448,kam bek | kambek,return | come back
1449,i gat planti samting,rich
1450,tok bilas,ridicule
1451,han sut | raithan,right (hand)
1452,ring,ring (n) | washer (on bolt)
1453,Kula Ring,ring of trading islands in Milne Bay province
1454,paitim belo,ring the bell
1455,grile | skin pukpuk,ringworm | tinea
1456,mau,ripe
1457,dukduk,ritual costume representing a spirit
1458,rot,"road | way, choice | street"
1459,i bin kukim long paia,roast
1460,tanim smok,roll a smoke
1461,loloi,rolls of shell money strung on lengths of cane
1462,pul long kanu,"row, paddle | paddle (canoe)"
1463,rabis,rubbish
1464,tin pipia,rubbish tin
1465,ram,rum
1466,tokwin,rumour
1467,ranawe | ronwe,run away
1468,ros,rust
1469,autim long wok,"sack, dismiss"
1470,sore | sori,sad | sorry
1471,i stap gut,safe | well (health)
1472,saksak,"sago, sago palm"
1473,sol na pepa,salt and pepper
1474,solmit,saltmeat | corned beef
1475,wankain,same | similar | equal
1476,sandal,sandals
1477,sanwis,sandwich
1478,sos,sauce
1479,sospen,saucepan | clay pot n
1480,sosis,sausage
1481,katim long so,saw so
1482,kolim nem (bilong yu),say (your) name
1483,kaskas,scabies
1484,mumutim,scavenge
1485,wanskul,schoolmate
1486,skon,scone(s)
1487,sikirapim | sikrapim,scrape
1488,sikirapim kokonas,scrape coconut
1489,pipia,scraps | rubbish
1490,nambis,seaside | coast (n) | beach
1491,asples bilong gavman,seat of government
1492,sekon,second (time)
1493,tok bokis,"secret language, parable"
1494,pulim,seduce | rape | pull
1495,lukim yu,see you (bye)
1496,semitrela,semitrailer
1497,salim,send | sell
1498,sevis stesin,service station
1499,lainim tebol | stretim,set the table
1500,strongim bel,settle stomach
1501,seven | sevenpela,seven
1502,sampela,several | some
1503,samap,sew up
1504,samapim,sew up | sew
1505,dewel bilong man,shadow
1506,sekan,shake hands
1507,i no daun,shallow
1508,sop i het gras,shampoo
1509,skelim,share out | weight out | slacken
1510,sak,shark
1511,stret,"sharp (of time), exactly | flat | exactly | honest | correct"
1512,sepim,shave
1513,sipsip,"sheep | mutton, lamb"
1514,bet laplap | bet sit | laplap bilong bet,sheet
1515,kapa,sheet metal
1516,ples bilong hait,shelter (n)
1517,plang bilong pait,shield
1518,skin i guria,shivering
1519,su,shoe(s)
1520,sutim,shoot
1521,sut long,shoot at/with
1522,stoa | stua,shop (n) | store
1523,sothan,shorthand
1524,sotpela trausis,shorts
1525,sol  | solda,shoulder
1526,savol,shovel
1527,soim,show (vb)
1528,sarap,shut up (talking)
1529,hanrot,side track/road | track
1530,raitim nem long,sign (vb)
1531,sain,"sign, signal (n)"
1532,pekato,sin
1533,bihain long,"since (time) | behind | after, afterwards"
1534,susa,sister (kin)
1535,sista,"sister (nurse, nun)"
1536,sindaun,"sit, sit down"
1537,siket,"skirt, European type"
1538,bulsitman,"skite, con man"
1539,solapim,slap
1540,slip,"sleep, be asleep | lie down | lying down"
1541,ai i hevi | ai x slip,sleepy
1542,han bilong siot,sleeve
1543,garamut,slitgong | drum
1544,sloim ka,slow down
1545,su gumi,sneakers
1546,pulim nus,snore
1547,ais,snow | ice
1548,sop,soap | shampoo
1549,soka,soccer
1550,sok(s),sock(s)
1551,sokin,sock(s) | stockings
1552,sodawara,soda-water
1553,soldia | solodia,soldier
1554,ananit bilong lek,sole of foot
1555,wanpela man no meri,somebody
1556,wanpela samting,something
1557,sampela taim,sometimes | seldom
1558,long sampela hap,somewhere
1559,sua i gat susu,sore has pus in it
1560,kain,"sort, kind | kind, sort"
1561,soua,sour
1562,sausap,soursoup
1563,blaksos | soisos,soya sauce
1564,spepat,spare part(s)
1565,spak plag,spark plug
1566,spak,spark | drunk
1567,autim,"speak out, divulge | cross out | get rid of, throw away"
1568,toktok,speak | talk | conversation
1569,tok,speak | word | message | say | talk
1570,spia | supia,spear
1571,spirim,spear (Something
1572,aiglas,spectacles
1573,spit,speed
1574,echidna,spiny anteater
1575,masalai,spirit
1576,spet,"spit, spittle | spade"
1577,bagarapim,spoil
1578,savolim | spunim,spoon out
1579,pilai,sport | play
1580,tanim skru,sprain
1581,lata | step,stairs | steps
1582,stem,stamp (postage)
1583,sanapim,"stand up, erect (something)"
1584,stesin,station (government) | outpost
1585,tren stesin,station (railway)
1586,mit,steak | saltmeat | corned beef
1587,stilim,steal
1588,stilwul,steel wool
1589,i go daun tumas,steep
1590,stiaim,steer
1591,stirim ka,steer car
1592,stia,steering wheel | steer
1593,wok sip,stevedore
1594,stuakipa,storekeeper
1595,plo,storey (floor)
1596,stov,stove
1597,straight on - stret,straight on
1598,strena,strainer
1599,slekim masis,strike a match
1600,string,string
1601,bilum,string netbag
1602,haibica,stringy silverbeet-like vegetable
1603,brukim bet,strip a bed
1604,bikhet,"stubborn, conceited"
1605,stabi,stubby
1606,pas,stuck | letter
1607,studen,student
1608,sumatin,student | schoolchild
1609,lainim,study (vb) | learn
1610,susuim pinga,suck finger
1611,santu,suddenly
1612,pitpit | stik suga,sugarcane
1613,paus,suitcase
1614,sanglss,sunglasses
1615,sapota,supporter
1616,sapos,"suppose, if | if"
1617,kirap nogut,surprised
1618,masta mak,surveyor
1619,tais,swamp
1620,tuhat,sweat
1621,kolsinglis,sweatshirt
1622,brumim,sweep
1623,switbiskit,sweet biscuit | cookie
1624,switpela,sweet | pleasant
1625,solap,swell up
1626,kunai,sword grass
1627,man bilong samapim klos,tailor (n)
1628,tekewe,take away
1629,pasim bel,take contraceptives
1630,kirap,take off (plane) | get up
1631,glasim,take temperature | study
1632,toktok long,talk about
1633,man bilong toktok,talkative person
1634,tok gumi,tall tale
1635,long,tall | to | than | because of | along | for | at | long
1636,tep,tape (recording)
1637,teprikoda,tape-recorder
1638,kasara,tapioca
1639,taro,taro
1640,traiim,taste (vb)
1641,taksi,taxi
1642,ti,tea (in liquid form)
1643,lipti,tea leaves
1644,kap bilong ti,tea-cup
1645,tisa,teacher
1646,tipot,teapot
1647,hambakim,tease
1648,tit,teeth | tooth
1649,telepon | telipon,telephone
1650,bokis wailis wantem piksa,television
1651,makim hat o kol,temperature
1652,haus lotu,temple | church
1653,namba ten,tenth
1654,nambaten,"terrible, tenth rate"
1655,bol,testicles
1656,tenkyu,thank you
1657,olsem,that | like
1658,em tasol,that's all
1659,man i gat kot,the accused
1660,haus piksa,theatre | cinema
1661,stil,theft
1662,dispela taim,then (at that time)
1663,i gat,there is
1664,strong,thick | loud | strong
1665,stilman,thief
1666,mit bilong lek,thigh
1667,tingting,think | thoughts | opinion
1668,namba tri,third
1669,hangre long dring,thirsty
1670,dispela,this | that
1671,ya,this | yes
1672,emtripela,those (three)
1673,emtupela,those (two)
1674,tret,thread (n)
1675,tromoi,throw
1676,troimweim,throw away
1677,tiket ofis,ticket-office
1678,tait,tide
1679,nektait,tie (n)
1680,taitim,tighten
1681,makao,tilapia (fish sp.)
1682,makau,tilapia fish (Sepik)
1683,taimtebol,timetable
1684,tinpis,tinned fish
1685,tinmit,tinned meat
1686,kapsaitim,tip | pour
1687,dump-truck - tipa | truck,"tip-truck, dump-truck"
1688,bun i slek | les | skin i les/slek,tired | weary
1689,ol i kolim,to be called or named
1690,kisim win,to have a rest
1691,wiken,to have a rest | free time | weekend
1692,malolo,to have a rest | rest
1693,tos; tostim (bret),toast
1694,stik tabak | tabak | tobako,tobacco
1695,tede | tude,today
1696,toea,toea (monetary unit 1/100 Kina)
1697,haus pekpek | liklik haus | smol haus | toilet,toilet
1698,haus pekpek man,toilet (men)
1699,haus pekpek meri,toilet (women)
1700,pepa pekpek,toilet paper
1701,sop i gat smel,toilet soap
1702,tamiok,tomahawk
1703,retpela sos | retsos,tomato sauce
1704,tomato,tomatoe(s)
1705,tunait,tonight
1706,tit i pen,toothache
1707,bros bilong tit,toothbrush
1708,sop bilong tit,toothpaste
1709,sutlam,"torch, headlamps"
1710,kam man | turis,tourist
1711,taul,towel
1712,taua,tower
1713,kaunsel haus,town hall
1714,liklik rot,track
1715,senka(r),tracked vehicle
1716,banana boat,trade boat or dinghy
1717,tok bilong ol tumbuna,tradition of ancestors
1718,tren,train | railway
1719,wanwokabaut,traveling companion
1720,sikau bilong antap,tree kangaroo
1721,baret,"trench, drain"
1722,Tolai,tribe which inhabits East New Britain's Gazelle Peninsula
1723,hanwara,tributary | side stream
1724,trabelman,troublemaker
1725,trak,truck
1726,tru,true | really | very much | extremely | very
1727,tok tru,truth | speak the truth
1728,traim,"try, try on | tempt | practise | attempt"
1729,bautim,turn (boat)
1730,tantanim,turn round
1731,tanim stia,turn steering wheel
1732,trausel | trosel,turtle
1733,pul bilong trausel,turtle's flipper
1734,twenti,twenty
1735,tupela taim,twice
1736,tupela,two | both
1737,taipraita,typewriter
1738,taipis,typist
1739,taia stret,tyre
1740,taia,tyre | wheel (with tyre on)
1741,i no naispela,ugly
1742,no inap,unable to
1743,ananit,"under, underneath | bottom"
1744,stap nating,unemployed
1745,tarangu,unfortunate(ly) | miserable
1746,bung wantaim,unite
1747,univesiti | yunivesiti,university
1748,lusim dua,unlock door
1749,no marit,unmarried
1750,inap long,"up to, until | until"
1751,antap,upstairs | summit | up | high
1752,pispis,urinate
1753,save,usually | understand | know | science | do something regularly
1754,hapka,utility
1755,dripman | welman,vagrant | squatter | wanderer
1756,ples daun | ples i go daun,valley
1757,i kastim planti mani,valuable
1758,maus bilong gumi,valve stem on inner tube
1759,mit bilong pikinini bulmakau,veal
1760,saior,vegetables
1761,mambu bilong blut,vein | artery
1762,veranda,"veranda, patio"
1763,tulait,very bright | light (gas)
1764,namba wan,very good | first
1765,mo mo y,very much
1766,tumas,very much | extremely | very | too
1767,vidiorikoda,videorecorder
1768,ples lukluk,view (outlook)
1769,ples | viles,village
1770,rop | rop bilong diwai,vine
1771,go lukim,visit
1772,ria,volcanic fiord
1773,volkeno,volcano
1774,voluntia,volunteer
1775,traut,vomit
1776,vot,vote
1777,wokabaut long sip,voyage (n)
1778,pe,wages | pay (n) | price
1779,wetim,wait for | expect
1780,wet nating,wait in vain
1781,weta,waiter
1782,wokabaut,"walk (vb) | travel | trip, tour | journey"
1783,sikau,wallaby
1784,bin,was | did | past tense marker | beans
1785,wasim,wash | baptize
1786,dis bilong waswas,washbasin
1787,hanwas,watch (n)
1788,klok,watch (n) | clock | heart
1789,mambu bilong wara,water pipe
1790,wara,water | river
1791,mitripela,we (three excl)
1792,yumitripela,we (three incl)
1793,mitupela,we (two excl)
1794,taim,weather (n) | time
1795,klinim gaden | tekimaut gras nogut,weed
1796,salvinia,weed found in many waterways
1797,gras nogut,weed(s)
1798,skel,weigh
1799,gut,well (adv) | kind (friendly) | good
1800,yu mekim wanem?,what are you doing?
1801,bilong wanem?,what for?
1802,wil ,wheel (with tyre on)
1803,wanem,which | what
1804,masta,white adult male (term originated in colonial times) | boss
1805,waitman,"white man, European"
1806,bilong husat,whose
1807,wail | wailpela | welpela,wild
1808,wel limbum,wild black palm
1809,wel pik,wild pig
1810,tiktik,wild sugarcane | reeds
1811,winim,win | be better than | blow
1812,wokim glas i go antap,wind up a window
1813,winskrin,windscreen
1814,waipa,windscreen wipers
1815,brukim ai,wink
1816,savetingting,wisdom
1817,wantaim,with | together
1818,sket,"woman's | skirt, European type"
1819,misis,"woman, wife (European)"
1820,nais tumas,wonderful
1821,wok kaikai,work for board and keep
1822,hatwok,work hard
1823,wok,"work, job | duty (obligation)"
1824,de bilong wok,workday
1825,wokman,"worker, workman"
1826,woksop,workshop
1827,moa nogut,worse
1828,beten | lotuim,worship (God)
1829,nambawan nogut,worst
1830,kastim,worth | cost
1831,sua i drai,wound heals
1832,sua,wound | sore
1833,spoilim,wreck
1834,rongim,"wrong, offend"
1835,yam,yam
1836,krismas,year (of age) | Christmas
1837,yis,yeast
1838,yutupela,you (two)
1839,yumitupela,you and I | we (two incl | you (three)
